somesSTATUS | wrapper  | 2018/08/13 14:26:40 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/13 14:26:40 | Java Service Wrapper Community Edition 64-bit 3.5.25
STATUS | wrapper  | 2018/08/13 14:26:40 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/13 14:26:40 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/13 14:26:40 |   Licensed to Zoho Corporation Pvt. Ltd. for Password Manager Pro
STATUS | wrapper  | 2018/08/13 14:26:40 | 
STATUS | wrapper  | 2018/08/13 14:26:40 | Launching a JVM...
INFO   | jvm 1    | 2018/08/13 14:26:40 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager: 
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager: WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:           following files:
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:             libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:             libwrapper.dylib
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:           could be located on the following java.library.path:
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:             /Users/hari-3021/work/build/9702/AdventNet/PMP/bin/../lib/native
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:           configuration property.
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2018/08/13 14:26:41 | WrapperManager: 
INFO   | jvm 1    | 2018/08/13 14:26:41 | Starting Server from location: /Users/hari-3021/work/build/9702/AdventNet/PMP
INFO   | jvm 1    | 2018/08/13 14:26:52 | The server does not support SSL.
INFO   | jvm 1    | 2018/08/13 14:26:52 | 
INFO   | jvm 1    | 2018/08/13 14:26:52 | System halted
INFO   | jvm 1    | 2018/08/13 14:26:52 | 
INFO   | jvm 1    | 2018/08/13 14:26:52 | 
INFO   | jvm 1    | 2018/08/13 14:26:52 | Problem while Starting Server
STATUS | wrapper  | 2018/08/13 14:26:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/13 14:27:47 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/13 14:27:47 | Java Service Wrapper Community Edition 64-bit 3.5.25
STATUS | wrapper  | 2018/08/13 14:27:47 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/13 14:27:47 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/13 14:27:47 |   Licensed to Zoho Corporation Pvt. Ltd. for Password Manager Pro
STATUS | wrapper  | 2018/08/13 14:27:47 | 
STATUS | wrapper  | 2018/08/13 14:27:48 | Launching a JVM...
INFO   | jvm 1    | 2018/08/13 14:27:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/13 14:27:48 | Starting Server from location: /Users/hari-3021/work/build/9702/AdventNet/PMP
INFO   | jvm 1    | 2018/08/13 14:27:49 | This evaluation copy is valid for 29 days
INFO   | jvm 1    | 2018/08/13 14:27:51 | The server does not support SSL.
INFO   | jvm 1    | 2018/08/13 14:27:51 | 
INFO   | jvm 1    | 2018/08/13 14:27:51 | System halted
INFO   | jvm 1    | 2018/08/13 14:27:51 | 
INFO   | jvm 1    | 2018/08/13 14:27:51 | 
INFO   | jvm 1    | 2018/08/13 14:27:51 | Problem while Starting Server
STATUS | wrapper  | 2018/08/13 14:27:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/13 14:28:43 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/13 14:28:43 | Java Service Wrapper Community Edition 64-bit 3.5.25
STATUS | wrapper  | 2018/08/13 14:28:43 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/13 14:28:43 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/13 14:28:43 |   Licensed to Zoho Corporation Pvt. Ltd. for Password Manager Pro
STATUS | wrapper  | 2018/08/13 14:28:43 | 
STATUS | wrapper  | 2018/08/13 14:28:44 | Launching a JVM...
INFO   | jvm 1    | 2018/08/13 14:28:44 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/13 14:28:44 | Starting Server from location: /Users/hari-3021/work/build/9702/AdventNet/PMP
INFO   | jvm 1    | 2018/08/13 14:28:44 | This evaluation copy is valid for 29 days
INFO   | jvm 1    | 2018/08/13 14:28:47 | The server does not support SSL.
INFO   | jvm 1    | 2018/08/13 14:28:47 | 
INFO   | jvm 1    | 2018/08/13 14:28:47 | System halted
INFO   | jvm 1    | 2018/08/13 14:28:47 | 
INFO   | jvm 1    | 2018/08/13 14:28:47 | 
INFO   | jvm 1    | 2018/08/13 14:28:47 | Problem while Starting Server
STATUS | wrapper  | 2018/08/13 14:28:50 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/13 14:29:13 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/13 14:29:13 | Java Service Wrapper Community Edition 64-bit 3.5.25
STATUS | wrapper  | 2018/08/13 14:29:13 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/13 14:29:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/13 14:29:13 |   Licensed to Zoho Corporation Pvt. Ltd. for Password Manager Pro
STATUS | wrapper  | 2018/08/13 14:29:13 | 
STATUS | wrapper  | 2018/08/13 14:29:13 | Launching a JVM...
INFO   | jvm 1    | 2018/08/13 14:29:13 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/13 14:29:14 | Starting Server from location: /Users/hari-3021/work/build/9702/AdventNet/PMP
INFO   | jvm 1    | 2018/08/13 14:29:14 | This evaluation copy is valid for 29 days
INFO   | jvm 1    | 2018/08/13 14:29:16 | The server does not support SSL.
INFO   | jvm 1    | 2018/08/13 14:29:16 | 
INFO   | jvm 1    | 2018/08/13 14:29:16 | System halted
INFO   | jvm 1    | 2018/08/13 14:29:17 | 
INFO   | jvm 1    | 2018/08/13 14:29:17 | 
INFO   | jvm 1    | 2018/08/13 14:29:17 | Problem while Starting Server
STATUS | wrapper  | 2018/08/13 14:29:19 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/13 14:37:39 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/13 14:37:39 | Java Service Wrapper Community Edition 64-bit 3.5.25
STATUS | wrapper  | 2018/08/13 14:37:39 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/13 14:37:39 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/13 14:37:39 |   Licensed to Zoho Corporation Pvt. Ltd. for Password Manager Pro
STATUS | wrapper  | 2018/08/13 14:37:39 | 
STATUS | wrapper  | 2018/08/13 14:37:39 | Launching a JVM...
INFO   | jvm 1    | 2018/08/13 14:37:39 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/13 14:37:40 | Starting Server from location: /Users/hari-3021/work/build/9702/AdventNet/PMP
INFO   | jvm 1    | 2018/08/13 14:37:40 | This evaluation copy is valid for 29 days
INFO   | jvm 1    | 2018/08/13 14:37:45 | Loading Modules
INFO   | jvm 1    | 2018/08/13 14:37:45 | 
INFO   | jvm 1    | 2018/08/13 14:37:45 | Persistence                                       [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:45 | SQNS                                              [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:46 | Audit                                             [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:46 | Authentication
INFO   | jvm 1    | 2018/08/13 14:37:46 |                                     [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:46 | Authorization                                     [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:47 | CustomView                                        [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:47 | TaskEngine                                        [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:47 | Tomcat                                            [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:47 | ClientFramework
INFO   | jvm 1    | 2018/08/13 14:37:47 |                                    [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:48 | ClientComponents
INFO   | jvm 1    | 2018/08/13 14:37:49 |                                   [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:49 | pki
INFO   | jvm 1    | 2018/08/13 14:37:50 |                                                [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:37:50 | PassTrix
INFO   | jvm 1    | 2018/08/13 14:38:02 |                                           [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:38:02 | PIM                                               [POPULATED]
INFO   | jvm 1    | 2018/08/13 14:38:02 | 
INFO   | jvm 1    | 2018/08/13 14:38:02 | Creating Services
INFO   | jvm 1    | 2018/08/13 14:38:02 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | WebService                                        [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | ClientFrameworkService                            [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | TemplateService                                   [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | TableTemplateService                              [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | SSLDiscoveringService                             [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | PassTrixService                                   [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | GatewayService                                    [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | FOSService                                        [ CREATED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | 
INFO   | jvm 1    | 2018/08/13 14:38:02 | Starting Services
INFO   | jvm 1    | 2018/08/13 14:38:02 | CacheService                                      [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | AuthenticationService                             [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | AuthorizationService                              [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:02 | TaskEngineService                                 [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:10 | WebService                                        [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:10 | ClientFrameworkService                            [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:10 | TemplateService                                   [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:10 | TableTemplateService                              [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:10 | SSLDiscoveringService                             [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:16 | PassTrixService                                   [ STARTED ]
